Team,Year,Wins,Losses,win%,Arena,Location,Capacity
Boston Bruins,1990,44,24,0.6470588235294118,TD Garden,"Boston, Massachusetts",17565
Buffalo Sabres,1990,31,30,0.5081967213114754,KeyBank Center,"Buffalo, New York",19070
Calgary Flames,1990,46,26,0.6388888888888888,Scotiabank Saddledome,"Calgary, Alberta",19289
Chicago Blackhawks,1990,49,23,0.6805555555555556,United Center,"Chicago, Illinois",19717
Detroit Red Wings,1990,34,38,0.4722222222222222,Little Caesars Arena,"Detroit, Michigan",19515
Edmonton Oilers,1990,37,37,0.5,Rogers Place,"Edmonton, Alberta",18347
Los Angeles Kings,1990,46,24,0.6571428571428571,Staples Center,"Los Angeles, California",18230
Montreal Canadiens,1990,39,30,0.5652173913043478,Bell Centre,"Montreal, Quebec",21302
New Jersey Devils,1990,32,33,0.49230769230769234,Prudential Center,"Newark, New Jersey",16514
New York Islanders,1990,25,45,0.35714285714285715,Nassau Coliseum,"Uniondale, New York",13900
New York Islanders,1990,25,45,0.35714285714285715,Barclays Center,"Brooklyn, New York",15795
New York Rangers,1990,36,31,0.5373134328358209,Madison Square Garden,"New York City, New York",18006
Philadelphia Flyers,1990,33,37,0.4714285714285714,Wells Fargo Center,"Philadelphia, Pennsylvania",19543
Pittsburgh Penguins,1990,41,33,0.5540540540540541,PPG Paints Arena,"Pittsburgh, Pennsylvania",18387
St. Louis Blues,1990,47,22,0.6811594202898551,Enterprise Center,"St. Louis, Missouri",18724
Toronto Maple Leafs,1990,23,46,0.3333333333333333,Scotiabank Arena,"Toronto, Ontario",18819
Vancouver Canucks,1990,28,43,0.39436619718309857,Rogers Arena,"Vancouver, British Columbia",18910
Washington Capitals,1990,37,36,0.5068493150684932,Capital One Arena,"Washington, D.C.",18506
Winnipeg Jets,1990,26,43,0.37681159420289856,Canada Life Centre,"Winnipeg, Manitoba",15321
Boston Bruins,1991,36,32,0.5294117647058824,TD Garden,"Boston, Massachusetts",17565
Buffalo Sabres,1991,31,37,0.45588235294117646,KeyBank Center,"Buffalo, New York",19070
Calgary Flames,1991,31,37,0.45588235294117646,Scotiabank Saddledome,"Calgary, Alberta",19289
Chicago Blackhawks,1991,36,29,0.5538461538461539,United Center,"Chicago, Illinois",19717
Detroit Red Wings,1991,43,25,0.6323529411764706,Little Caesars Arena,"Detroit, Michigan",19515
Edmonton Oilers,1991,36,34,0.5142857142857142,Rogers Place,"Edmonton, Alberta",18347
Los Angeles Kings,1991,35,31,0.5303030303030303,Staples Center,"Los Angeles, California",18230
Montreal Canadiens,1991,41,28,0.5942028985507246,Bell Centre,"Montreal, Quebec",21302
New Jersey Devils,1991,38,31,0.5507246376811594,Prudential Center,"Newark, New Jersey",16514
New York Islanders,1991,34,35,0.4927536231884058,Nassau Coliseum,"Uniondale, New York",13900
New York Islanders,1991,34,35,0.4927536231884058,Barclays Center,"Brooklyn, New York",15795
New York Rangers,1991,50,25,0.6666666666666666,Madison Square Garden,"New York City, New York",18006
Philadelphia Flyers,1991,32,37,0.463768115942029,Wells Fargo Center,"Philadelphia, Pennsylvania",19543
Pittsburgh Penguins,1991,39,32,0.5492957746478874,PPG Paints Arena,"Pittsburgh, Pennsylvania",18387
San Jose Sharks,1991,17,58,0.22666666666666666,SAP Center,"San Jose, California",17562
St. Louis Blues,1991,36,33,0.5217391304347826,Enterprise Center,"St. Louis, Missouri",18724
Toronto Maple Leafs,1991,30,43,0.410958904109589,Scotiabank Arena,"Toronto, Ontario",18819
Vancouver Canucks,1991,42,26,0.6176470588235294,Rogers Arena,"Vancouver, British Columbia",18910
Washington Capitals,1991,45,27,0.625,Capital One Arena,"Washington, D.C.",18506
Winnipeg Jets,1991,33,32,0.5076923076923077,Canada Life Centre,"Winnipeg, Manitoba",15321
Boston Bruins,1992,51,26,0.6623376623376623,TD Garden,"Boston, Massachusetts",17565
Buffalo Sabres,1992,38,36,0.5135135135135135,KeyBank Center,"Buffalo, New York",19070
Calgary Flames,1992,43,30,0.589041095890411,Scotiabank Saddledome,"Calgary, Alberta",19289
Chicago Blackhawks,1992,47,25,0.6527777777777778,United Center,"Chicago, Illinois",19717
Detroit Red Wings,1992,47,28,0.6266666666666667,Little Caesars Arena,"Detroit, Michigan",19515
Edmonton Oilers,1992,26,50,0.34210526315789475,Rogers Place,"Edmonton, Alberta",18347
Los Angeles Kings,1992,39,35,0.527027027027027,Staples Center,"Los Angeles, California",18230
Montreal Canadiens,1992,48,30,0.6153846153846154,Bell Centre,"Montreal, Quebec",21302
New Jersey Devils,1992,40,37,0.5194805194805194,Prudential Center,"Newark, New Jersey",16514
New York Islanders,1992,40,37,0.5194805194805194,Nassau Coliseum,"Uniondale, New York",13900
New York Islanders,1992,40,37,0.5194805194805194,Barclays Center,"Brooklyn, New York",15795
New York Rangers,1992,34,39,0.4657534246575342,Madison Square Garden,"New York City, New York",18006
Ottawa Senators,1992,10,70,0.125,Canadian Tire Centre,"Ottawa, Ontario",17373
Philadelphia Flyers,1992,36,37,0.4931506849315068,Wells Fargo Center,"Philadelphia, Pennsylvania",19543
Pittsburgh Penguins,1992,56,21,0.7272727272727273,PPG Paints Arena,"Pittsburgh, Pennsylvania",18387
San Jose Sharks,1992,11,71,0.13414634146341464,SAP Center,"San Jose, California",17562
St. Louis Blues,1992,37,36,0.5068493150684932,Enterprise Center,"St. Louis, Missouri",18724
Tampa Bay Lightning,1992,23,54,0.2987012987012987,Amalie Arena,"Tampa, Florida",19092
Toronto Maple Leafs,1992,44,29,0.6027397260273972,Scotiabank Arena,"Toronto, Ontario",18819
Vancouver Canucks,1992,46,29,0.6133333333333333,Rogers Arena,"Vancouver, British Columbia",18910
Washington Capitals,1992,43,34,0.5584415584415584,Capital One Arena,"Washington, D.C.",18506
Winnipeg Jets,1992,40,37,0.5194805194805194,Canada Life Centre,"Winnipeg, Manitoba",15321
Anaheim Ducks,1993,33,46,0.4177215189873418,Honda Center,"Anaheim, California",17174
Boston Bruins,1993,42,29,0.5915492957746479,TD Garden,"Boston, Massachusetts",17565
Buffalo Sabres,1993,43,32,0.5733333333333334,KeyBank Center,"Buffalo, New York",19070
Calgary Flames,1993,42,29,0.5915492957746479,Scotiabank Saddledome,"Calgary, Alberta",19289
